tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_microcarpa_SC107,0.3972448057,0.7172219893,0.2089342555,1022.594233079,0.6474505051,1.6406969649,2.1235495853,0.3133943482,1.0597796506,0.3554110517,0.8787945336,2439.5240307831,38.209476107,10.6762405419,0.8881291788,281.5453888723,110.4282809269,184.8153706477,430.0338933048,133.0168337493
Scleria_mitis_SC148,1.6129836121,1.8620995572,0.2694462987,1654.5888835406,1.4240666952,5.8994317496,5.2244358126,1.1577498364,3.3682416878,1.2447574391,2.9259508754,7291.3142472375,120.9472415005,28.6412794777,1.8315496764,800.0207173518,299.8686534129,477.5795041419,962.7364955936,513.1773560349
Scleria_mongomoensis_SC029,251.9639762073,114.0797385969,25.5237181148,353853.484114747,273.8801003183,557.8879538829,525.5998986498,250.3672834442,489.2549678144,205.1695222589,439.0226698025,115782.369839658,3824.6918177859,407.6085987562,156.1613091034,24916.527627074,4560.7123559817,15528.5189204599,29788.2713824866,63939.5790371443
Scleria_naumanniana_SC150,0.5593403516,3.8618479635,0.2333687597,652.2777034742,2.3653235767,3.541900349,8.7395291765,0.8942630838,1.6868923063,0.9105101396,0.6003906474,6557.0005170334,228.1093633308,6.1536450853,5.1825091917,1561.8807870038,95.6191681148,440.7781846025,2529.080341242,227.7244131312
Scleria_neesii_SC023,55.9919947127,25.3510530215,5.6719373588,78634.107581055,60.8622445152,123.9751008629,116.7999774777,55.6371740987,108.723326181,45.5932271686,97.5605932894,25729.4155199239,849.9315150635,90.5796886125,34.7025131341,5537.0061393498,1013.4916346626,3450.7819823244,6619.6158627748,14208.7953415876
Scleria_nyasensis_SC232,83.9879920691,38.0265795323,8.5079060383,117951.161371582,91.2933667728,185.9626512943,175.1999662166,83.4557611481,163.0849892715,68.389840753,146.3408899342,38594.1232798859,1274.8972725953,135.8695329187,52.0537697011,8305.5092090247,1520.2374519939,5176.1729734866,9929.4237941622,21313.1930123814
Scleria_oblata_SC093,33.5951968276,15.2106318129,3.4031624153,47180.464548633,36.5173467091,74.3850605177,70.0799864866,33.3823044592,65.2339957086,27.3559363012,58.5363559737,15437.6493119543,509.9589090381,54.3478131675,20.8215078805,3322.2036836099,608.0949807976,2070.4691893947,3971.7695176649,8525.2772049526
Scleria_obtusa_SC154,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_oligantha_SC236,5.7171564886,0.8127189966,0.4402956313,20966.9998463402,2.1602734136,16.0241044282,17.6083200455,45.344677705,37.129098118,3.3981815251,15.3377516808,355.678251604,14.1116602558,3.3231250362,3.0216861764,70.1434627854,33.149153234,76.1186354007,75.5368342566,2119.1369423222
Scleria_panicoides_SC155,2.854774496,2.0950308101,0.317683306,3284.8654950774,3.610715956,4.7153255661,4.6120264777,3.9914070892,5.0880096687,2.4187562207,4.2190515592,690.5706242709,17.8122562044,8.0948363732,2.8771013316,150.1925970086,85.2727735264,164.8262273935,94.6399902696,1035.5080370098
Scleria_pantadenia_SC252,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_paupercula_SC382,50.3927952415,22.8159477194,5.104743623,70770.6968229495,54.7760200637,111.5775907766,105.11997973,50.0734566888,97.8509935629,41.0339044518,87.8045339605,23156.4739679315,764.9383635572,81.5217197512,31.2322618207,4983.3055254148,912.1424711963,3105.703784092,5957.6542764973,12787.9158074289
Scleria_pedicellata_SC435,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_pergracilis_SC123,5.0706244934,2.4620210733,0.4944439997,3946.4974058657,8.6658820057,12.9827816524,11.9871418994,3.0363854228,11.5634049451,6.0481228174,7.4926228524,1606.111282608,85.8186482484,4.7745104416,5.8628260804,609.0684256081,53.4821262395,529.2033681219,1386.583860332,1246.6644085774
